nid,title,,,,projectcity,projectstate,office,category,,projectdescrip
228,Palmdale Gateway,,,,Palmdale,California,Irvine,Retail,,
229,St. Cecilia Parish School,,,,Beaverton,Oregon,Portland,Education and Libraries,,
230,United Methodist Church,,,,Elk Grove,California,Sacramento,Religious Facilities,,
231,Irvington Place Condominiums,,,,Portland,Oregon,Portland,Repair and Restoration,,
232,Hotel Sierra,,,,San Jose,California,Sacramento,Hospitality,,
233,Larkspur Landing Hotel,,,,San Francisco,California,Sacramento,Repair and Restoration,,
234,Mountain View Sports Bar at Spirit Mountain Casino,,,,Grand Ronde,Oregon,Portland,Food Service,,
235,Nel Centro at Hotel Modera,,,,Portland,Oregon,Portland,Food Service,,
236,Strawberry Village Center,,,,Mill Valley,California,Sacramento,Mixed-Use,,
237,William M. Factory Small Business Incubator  Ph. II,,,,Tacoma,Washington,Seattle,Office,,
238,Sierra Pacific Properties Headquarters,,,,Concord,California,Sacramento,Office,,
239,Streets of Brentwood,,,,Brentwood,California,Sacramento,Retail,,
240,Target,,,,Multiple Locations,,Multiple Locations,Retail,,
241,10th Place at Bellevue Condominiums,,,,Bellevue,Washington,Seattle,Repair and Restoration,,
242,Mill Street Condominiums,,,,Seattle,Washington,Seattle,Repair and Restoration,,
243,Adelaide Condominiums,,,,Seattle,Washington,Seattle,Repair and Restoration,,
244,Westmont Condominiums,,,,Seattle,Washington,Seattle,Repair and Restoration,,
245,Emerald Place Condominiums,,,,Edmonds,Washington,Seattle,Repair and Restoration,,
246,Barclay Court,,,,Seattle,Washington,Seattle,Repair and Restoration,,
247,Parking Garage Expansion at Alderwood Mall,,,,Lynnwood,Washington,Seattle,Parking,,
248,South Hill Mall,,,,Puyallup,Washington,Portland,Retail,,
249,Franklin Street Apartments,,,,Redwood City,California,Sacramento,Repair and Restoration,,
250,Pioneer Towers,,,,Sacramento,California,Sacramento,Repair and Restoration,,
251,Bridgecourt Apartments,,,,Emeryville,California,Sacramento,Repair and Restoration,,
252,The Resort at Seaside,,,,Seaside,Oregon,Portland,Repair and Restoration,,
253,42nd and Oregon,,,,Seattle,Washington,Seattle,Mixed-Use,,
254,VA Puget Sound Health Care System MRI Upgrade,,,,Seattle,Washington,Seattle,Federal,,
255,Fort Simcoe Food Service and Dining Hall Renovation,,,,White Swan,Washington,Seattle,Federal,,
256,Aloft,,,,Cupertino,California,Sacramento,Hospitality,,
257,Mercedes Benz of Fairfield,,,,Fairfield,California,Sacramento,Auto Dealerships,,
258,7th and H Street,,,,Sacramento,California,Sacramento,Mixed-Use,,
259,Villa Granada,,,,Santa Clara,California,Sacramento,Multi-Family Housing,,
260,St. Pius X Catholic Church,,,,Portland,Oregon,Portland,Religious Facilities,,
261,Jimmy John's,,,,Multiple Locations,Washington,Seattle,Food Service,,
262,Lake Road Medical Center,,,,Milwaukie,Oregon,Portland,Medical and Healthcare,,
263,Centralia Cancer Center,,,,Centralia,Washington,Seattle,Medical and Healthcare,,
264,RadiantCare Radiation Center,,,,Aberdeen,Washington,Seattle,Medical and Healthcare,,
265,Valley Medical Center at The Landing,,,,Renton,Washington,Seattle,Medical and Healthcare,,
266,National American University,,,,Tigard,Oregon,Portland,Education and Libraries,,
267,Clear Channel,,,,Tigard,Oregon,Portland,Office,,
268,Autohaus Mercedes,,,,Seattle,Washington,Seattle,Auto Dealerships,,
269,Larson Porsche-Audi-Mercedes,,,,Fife,Washington,Seattle,Auto Dealerships,,
270,Burien Nissan,,,,Burien,Washington,Seattle,Auto Dealerships,,
271,Tommy Bahama,,,,Laguna Beach,California,Irvine,Food Service,,
272,Hotel Andra Remodel,,,,Seattle,Washington,Seattle,Hospitality,,
273,Extended Stay America,,,,Tacoma,Washington,Seattle,Hospitality,,
274,Palladio at Broadstone,,,,Folsom,California,Sacramento,Mixed-Use,,
275,Livermore Outlets,,,,Livermore,California,Sacramento,Retail,,
276,Lawrence Station Apartments,,,,Sunnyvale,California,Sacramento,Mixed-Use,,
